gs_step,col_step,particle_ht,ashdiam,part_density,fall_time,total_fall_time,plume_diffusion_fine_particle,plume_diffusion_coarse_particle,wind_speed,wind_direction,wind_sum_x,wind_sum_y,x_norm,step_norm,col_prob,cum_col_prob,suspended_mass
0,85,29088.3902829506,0.0000000000,0.0000000000,1.0240813538,234.8030178496,1922.9834430715,646.0485274787,27.0697023104,1.0185738282,1968.5846404128,1270.8495203988,0.8600000000,0.0100000000,1.0000000000,100.0000000000,171285242.6834871173
0,86,29419.4878443803,0.0000000000,0.0000000000,1.0036136082,235.8066314578,1940.8509570242,661.1602629106,27.3778222282,1.0301677084,1982.7262409580,1294.4076866417,0.8700000000,0.0100000000,1.0000000000,100.0000000000,171285242.6834871173
0,87,29750.5854058100,0.0000000000,0.0000000000,0.9835549401,236.7901863980,1958.6774424158,676.4467004861,27.6859421461,1.0417615885,1996.4695549599,1317.9157566738,0.8800000000,0.0100000000,1.0000000000,100.0000000000,171285242.6834871173
0,88,30081.6829672396,0.0000000000,0.0000000000,0.9638971735,237.7540835715,1976.4634581154,691.9078402054,27.9940620639,1.0533554687,2009.8170986077,1341.3667013953,0.8900000000,0.0100000000,1.0000000000,100.0000000000,171285242.6834871173
0,89,30412.7805286693,0.0000000000,0.0000000000,0.9446322957,238.6987158672,1994.2095491922,707.5436820684,28.3021819817,1.0649493488,2022.7715784682,1364.7536629743,0.9000000000,0.0100000000,1.0000000000,100.0000000000,171285242.6834871173
0,90,30743.8780900989,0.0000000000,0.0000000000,0.9257524544,239.6244683216,2011.9162474055,723.3542260751,28.6103018995,1.0765432290,2035.3358824745,1388.0699553700,0.9100000000,0.0100000000,1.0000000000,100.0000000000,171285242.6834871173
0,91,31074.9756515286,0.0000000000,0.0000000000,0.9072499540,240.5317182756,2029.5840716721,739.3394722255,28.9184218174,1.0881371091,2047.5130711346,1411.3090646694,0.9200000000,0.0100000000,1.0000000000,100.0000000000,171285242.6834871173
0,92,31406.0732129582,0.0000000000,0.0000000000,0.8891172527,241.4208355283,2047.2135285129,755.4994205197,29.2265417352,1.0997309893,2059.3063689575,1434.4646492478,0.9300000000,0.0100000000,1.0000000000,100.0000000000,171285242.6834871173
0,93,31737.1707743879,0.0000000000,0.0000000000,0.8713469597,242.2921824880,2064.8051124786,771.8340709575,29.5346616530,1.1113248694,2070.7191560932,1457.5305397579,0.9400000000,0.0100000000,1.0000000000,100.0000000000,171285242.6834871173
0,94,32068.2683358176,0.0000000000,0.0000000000,0.8539318317,243.1461143197,2082.3593065570,788.3434235391,29.8427815708,1.1229187496,2081.7549601857,1480.5007389588,0.9500000000,0.0100000000,1.0000000000,100.0000000000,171285242.6834871173
0,95,32399.3658972472,0.0000000000,0.0000000000,0.8368647702,243.9829790899,2099.8765825621,805.0274782645,30.1509014887,1.1345126297,2092.4174484346,1503.3694213893,0.9600000000,0.0100000000,1.0000000000,100.0000000000,171285242.6834871173
0,96,32730.4634586769,0.0000000000,0.0000000000,0.8201388186,244.8031179085,2117.3574015063,821.8862351335,30.4590214065,1.1461065099,2102.7104198655,1526.1309328950,0.9700000000,0.0100000000,1.0000000000,100.0000000000,171285242.6834871173
